"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"J1","473460001","Top","MICRO-USB-SMD_47346-0001","102.8103","87.5056","90",""
"U1","AMS1117-3.3","Top","SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR","96.8233","74.1517","90",""
"U2","STM32F411CEU6","Top","UFQFPN-48_L7.0-W7.0-P0.50-BL-EP","86.7500","86.2500","270",""
"X1","24MHz","Top","XTAL_3225","75.7500","84.5000","180","Crystal SMD 24MHz 10PPM 7pF 3225"
"U3","MPU-6050","Top","QFN-24","78.0000","94.7500","270",""
"R7","10k","Top","RES_0402","95.0000","99.7500","180","Resistor SMD 0402"
"R6","10k","Top","RES_0402","85.6253","93.7496","90","Resistor SMD 0402"
"R5","1k","Top","RES_0402","92.2500","82.5501","180","Resistor SMD 0402"
"R4","2k2","Top","RES_0402","88.3751","93.7500","0","Resistor SMD 0402"
"R3","2k2","Top","RES_0402","90.5012","93.7500","180","Resistor SMD 0402"
"R1","1k","Top","RES_0402","104.2500","76.9834","270","Resistor SMD 0402"
"J3","SM06B-GHS-TB","Top","SM06B-GHS-TB","85.5000","70.2500","0","Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH"
"FB1","240R","Top","FB_0603","98.5000","85.3109","0","Ferrite Bead SMD 0603"
"D2","RED","Top","LED_0402_RED","92.2500","83.9996","0","LED 0402 RED SMD"
"D1","GREEN","Top","LED_0603_GREEN","104.2500","74.2500","270","LED 0603 GREEN SMD"
"C18","2n2","Top","CAP_0402","81.5000","93.5000","90","Capacitor SMD 0402"
"C17","100n","Top","CAP_0402","76.7500","91.2500","180","Capacitor SMD 0402"
"C16","100n","Top","CAP_0402","74.2500","94.0000","90","Capacitor SMD 0402"
"C15","100n","Top","CAP_0402","74.2500","96.0000","90","Capacitor SMD 0402"
"C14","100n","Top","CAP_0402","92.7100","99.7500","0","Capacitor SMD 0402"
"C13","2u2","Top","CAP_0603","88.5000","80.2500","90","Capacitor SMD 0603"
"C12","100n","Top","CAP_0402","84.1242","91.4985","180","Capacitor SMD 0402"
"C11","100n","Top","CAP_0402","91.7500","89.3499","90","Capacitor SMD 0402"
"C10","100n","Top","CAP_0402","90.2500","81.0000","0","Capacitor SMD 0402"
"C9","100n","Top","CAP_0402","81.5000","84.8753","270","Capacitor SMD 0402"
"C8","100n","Top","CAP_0402","81.5000","88.3755","90","Capacitor SMD 0402"
"C7","2u2","Top","CAP_0603","80.0000","88.3755","90","Capacitor SMD 0603"
"C6","10p","Top","CAP_0402","79.4343","84.4999","0","Capacitor SMD 0402"
"C5","10p","Top","CAP_0402","76.5000","87.0000","180","Capacitor SMD 0402"
"C4","22u","Top","CAP_0805","101.7500","74.5000","90","Capacitor SMD 0805"
"C3","22u","Top","CAP_0805","96.4483","79.5000","0","Capacitor SMD 0805"
"C2","2u2","Top","CAP_0603","97.9375","83.4000","90","Capacitor SMD 0603"
"C1","2u2","Top","CAP_0603","99.2500","83.3048","90","Capacitor SMD 0603"
